a,b,c,d,e,f,g,h
accion,los indestructibles,Que relacion tienen todos estos actores entre si?,Son amigos,Son actores desempleados,son viejos personajes de accion,Sylvester estaba aburrido,todos participaron de alguna pelicula de accion
accion,La roca,Quien dirigio la pelicula y que elemento no puede faltar?,Ridley scott (el alien),steven spielberg (los soldados),Francis Ford coppolla (la mujer del vestido blanco),Woody Allen (la toma del amanecer),Michael Bay (el ferrari) 
accion,maxima velocidad,Que artilugio se utilizo para lanzar el colectivo por los aires?,efectos especiales,una maqueta,un vehiculo a control remoto,movimiento cuadro a cuadro,una catapulta
accion,arma mortal 2,En que videojuego se hace referencia a esta clasica pelicula de accion?,max payne 3,mafia 3,kane & linch,gta san andreas,gta V.
accion,robocop,En que ciudad se desarrolla la historia de este personaje?,Los angeles,atlanta,Reno,Chicago,Detroit
accion,mision imposible 2,Que tipo de artilugios uso tom cruise para realizar cada escena de accion,tenia un doble de riesgo,efectos especiales,los filmaba a metros del suelo,usaba una correa de seguridad,miraba a la muerte a los ojos.
accion,el fugitivo,Fue esta la unica pelicula donde el grupo de investigacion participo?,si,no hubo otra pelicula parecida,hubo cuatro mas que se llamaban parecido,hay dos mas,hay una serie
accion,rescatando al soldado ryan,Que actores de accion mueren al principio de esta pelicula?,tom hanks,Barry Pepper,Ted Danson,Jeremy Davies,Vin Diesel  
accion,the matrix,Que actor fue convocado primeramente para personificar a Neo?,Tom Cruise,Nicolas Cage,Mark Walberg,Mel Gibson,Will Smith
accion,smoking aces,Que personajes no mueren en esta pelicula?,el objetivo y el aleman,el agente y su gente,las cazarecompensas,los hermanos,el agente de fbi.  